Delivery Date;"NatGas - TTF
(€/MWh)";"Thermal Coal - API2
($/t)";Carbon (€/t);EUR/USD
01/01/2015;20,4;67,11;7,34;1,2097
02/01/2015;20,7;66,93;7,34;1,2102
03/01/2015;20,3;65,53;7,09;1,2
06/01/2015;19,8;62,45;6,99;1,1931
07/01/2015;19,2;61;6,86;1,1888
08/01/2015;19,15;58,55;6,87;1,1837
09/01/2015;19,4;57,9;6,9;1,1792
10/01/2015;19,15;57,6;6,8;1,1839
13/01/2015;19,7;56,1;6,8;1,1833
14/01/2015;20,15;56,45;7,38;1,1772
15/01/2015;20,1;55,7;7,25;1,1789
16/01/2015;19,9;54,4;7,21;1,1628
17/01/2015;19,8;53,15;7,22;1,1567
20/01/2015;19,05;54,1;7,3;1,1604
21/01/2015;19,13;55,15;7,25;1,1549
22/01/2015;19,3;57;7,41;1,1608
23/01/2015;19,4;56,75;6,84;1,1365
24/01/2015;19,5;55,5;6,88;1,1207
27/01/2015;19,5;55,3;6,93;1,1237
28/01/2015;20,08;57,35;6,91;1,1381
29/01/2015;20,45;58,9;7,02;1,1286
30/01/2015;20,7;57,35;7,12;1,1319
31/01/2015;20,15;57,2;7,15;1,1286
03/02/2015;21,28;57,8;7,2;1,134
04/02/2015;21,15;59;7,13;1,1479
05/02/2015;21;58,8;7;1,1344
06/02/2015;21,65;61,35;7,07;1,1475
07/02/2015;21,1;61,8;7,02;1,1313
10/02/2015;21,85;62,9;6,99;1,1323
11/02/2015;22,5;62,15;7,18;1,1319
12/02/2015;23,5;63,9;7,31;1,1331
13/02/2015;24,5;64,4;7,47;1,1402
14/02/2015;23,85;65,1;7,71;1,1383
17/02/2015;23,2;65;7,72;1,1352
18/02/2015;22,85;63,75;7,54;1,141
19/02/2015;22,85;63,5;7,56;1,1395
20/02/2015;22,08;62,4;7,41;1,1366
21/02/2015;22,3;63;7,38;1,1378
24/02/2015;21,95;61,9;7,76;1,133
25/02/2015;22,73;61,4;7,52;1,1339
