date;DayAheadPrices_ES;ActualTotalLoad_ES
2015-01-01 00:00:00;50,1;25385
2015-01-01 01:00:00;48,1;24382
2015-01-01 02:00:00;47,33;22734
2015-01-01 03:00:00;42,27;21286
2015-01-01 04:00:00;38,41;20264
2015-01-01 05:00:00;35,72;19905
2015-01-01 06:00:00;35,13;20010
2015-01-01 07:00:00;36,22;20377
2015-01-01 08:00:00;32,4;20094
2015-01-01 09:00:00;36,6;20637
2015-01-01 10:00:00;43,1;22250
2015-01-01 11:00:00;45,14;23547
2015-01-01 12:00:00;45,14;24133
2015-01-01 13:00:00;47,35;24713
2015-01-01 14:00:00;47,35;24672
2015-01-01 15:00:00;43,61;23528
2015-01-01 16:00:00;44,91;23118
2015-01-01 17:00:00;48,1;23606
2015-01-01 18:00:00;58,02;26447
2015-01-01 19:00:00;61,01;28020
2015-01-01 20:00:00;62,69;29014
2015-01-01 21:00:00;60,41;29571
2015-01-01 22:00:00;58,15;29031
2015-01-01 23:00:00;53,6;26798
2015-01-02 00:00:00;47,34;24298
2015-01-02 01:00:00;40,4;21881
2015-01-02 02:00:00;36;20495
2015-01-02 03:00:00;37;19730
2015-01-02 04:00:00;35,99;19500
2015-01-02 05:00:00;37,98;20113
2015-01-02 06:00:00;43,61;22153
2015-01-02 07:00:00;56,1;
2015-01-02 08:00:00;57,69;
2015-01-02 09:00:00;60,01;
2015-01-02 10:00:00;62,25;32383
2015-01-02 11:00:00;60,01;32358
2015-01-02 12:00:00;59,97;
2015-01-02 13:00:00;59,69;
2015-01-02 14:00:00;58,69;
2015-01-02 15:00:00;58,13;
2015-01-02 16:00:00;59;
2015-01-02 17:00:00;59,69;
2015-01-02 18:00:00;63,76;
2015-01-02 19:00:00;65,01;
2015-01-02 20:00:00;65,01;33955
2015-01-02 21:00:00;61,75;33851
2015-01-02 22:00:00;59,96;32324
2015-01-02 23:00:00;58,69;29866
2015-01-03 00:00:00;52,1;27243
2015-01-03 01:00:00;47,84;24723
2015-01-03 02:00:00;43,66;22861
2015-01-03 03:00:00;43,66;21963
2015-01-03 04:00:00;41,98;21540
2015-01-03 05:00:00;43,93;21642
2015-01-03 06:00:00;46,02;22434
2015-01-03 07:00:00;50,92;23787
2015-01-03 08:00:00;55,57;25305
2015-01-03 09:00:00;58,1;27745
2015-01-03 10:00:00;59,8;30101
2015-01-03 11:00:00;59,51;30495
2015-01-03 12:00:00;59;29893
2015-01-03 13:00:00;58,13;29659
2015-01-03 14:00:00;56,9;29268
2015-01-03 15:00:00;52,69;28375
2015-01-03 16:00:00;52,1;27840
2015-01-03 17:00:00;56,1;28102
2015-01-03 18:00:00;59;30973
2015-01-03 19:00:00;59,8;32130
2015-01-03 20:00:00;59,92;32763
2015-01-03 21:00:00;59,51;32875
2015-01-03 22:00:00;58,1;31532
2015-01-03 23:00:00;56,1;29366
2015-01-04 00:00:00;39,82;26818
2015-01-04 01:00:00;34,82;24299
2015-01-04 02:00:00;34;22546
2015-01-04 03:00:00;36;21480
2015-01-04 04:00:00;35;20937
2015-01-04 05:00:00;35,5;21035
2015-01-04 06:00:00;36;21476
2015-01-04 07:00:00;36,49;22289
2015-01-04 08:00:00;38,5;22929
2015-01-04 09:00:00;41,86;24754
2015-01-04 10:00:00;48,51;27027
2015-01-04 11:00:00;48,51;27933
2015-01-04 12:00:00;45,5;27648
2015-01-04 13:00:00;47,71;27873
2015-01-04 14:00:00;46,48;27769
2015-01-04 15:00:00;39,82;26825
2015-01-04 16:00:00;39,6;26254
2015-01-04 17:00:00;47,69;26508
2015-01-04 18:00:00;59,11;29232
2015-01-04 19:00:00;61,26;30623
2015-01-04 20:00:00;62,31;31605
2015-01-04 21:00:00;62,69;32040
2015-01-04 22:00:00;61,19;31115
2015-01-04 23:00:00;59,8;28916
2015-01-05 00:00:00;56,06;26019
2015-01-05 01:00:00;48,07;23591
2015-01-05 02:00:00;43,93;22089
2015-01-05 03:00:00;45,67;21350
2015-01-05 04:00:00;45,69;21054
2015-01-05 05:00:00;47,49;21533
2015-01-05 06:00:00;57,5;23240
2015-01-05 07:00:00;63;26141
2015-01-05 08:00:00;65,11;28870
2015-01-05 09:00:00;66,96;31473
2015-01-05 10:00:00;67,52;32893
2015-01-05 11:00:00;65,97;32741
2015-01-05 12:00:00;63,68;31942
2015-01-05 13:00:00;62,71;31779
2015-01-05 14:00:00;60,01;30864
2015-01-05 15:00:00;59,8;29742
2015-01-05 16:00:00;59,98;29336
2015-01-05 17:00:00;63,46;29469
2015-01-05 18:00:00;67,52;30960
2015-01-05 19:00:00;69;31097
2015-01-05 20:00:00;67,52;31242
2015-01-05 21:00:00;65,11;31443
2015-01-05 22:00:00;63,07;30365
2015-01-05 23:00:00;59,8;28635
2015-01-06 00:00:00;57,98;26304
2015-01-06 01:00:00;50,45;23940
2015-01-06 02:00:00;46;22118
