date;value
18/04/2022;16,51
17/04/2022;17,17
16/04/2022;17,54
15/04/2022;16,63
14/04/2022;15,56
13/04/2022;13,47
12/04/2022;13,56
11/04/2022;15,23
10/04/2022;15,24
09/04/2022;14,70
08/04/2022;14,72
07/04/2022;14,05
06/04/2022;10,72
05/04/2022;8,61
04/04/2022;8,10
03/04/2022;7,21
02/04/2022;8,16
01/04/2022;9,46
31/03/2022;11,36
30/03/2022;12,41
29/03/2022;13,20
28/03/2022;13,12
27/03/2022;13,31
26/03/2022;12,07
25/03/2022;12,27
24/03/2022;11,43
23/03/2022;11,56
22/03/2022;12,13
21/03/2022;12,91
20/03/2022;13,06
19/03/2022;12,09
18/03/2022;11,79
17/03/2022;12,35
16/03/2022;13,05
15/03/2022;13,97
14/03/2022;11,37
13/03/2022;11,72
12/03/2022;11,20
11/03/2022;11,56
10/03/2022;11,79
09/03/2022;10,31
08/03/2022;10,10
07/03/2022;9,41
06/03/2022;9,05
05/03/2022;9,47
04/03/2022;10,55
03/03/2022;10,65
02/03/2022;11,98
01/03/2022;11,49
28/02/2022;11,37
27/02/2022;11,28
26/02/2022;10,52
25/02/2022;10,97
24/02/2022;11,07
23/02/2022;10,98
22/02/2022;11,77
21/02/2022;11,44
20/02/2022;10,20
19/02/2022;10,89
18/02/2022;11,33
17/02/2022;12,38
16/02/2022;11,29
15/02/2022;9,56
14/02/2022;10,97
13/02/2022;10,82
12/02/2022;9,90
11/02/2022;10,12
10/02/2022;9,17
09/02/2022;9,84
08/02/2022;10,01
07/02/2022;9,60
06/02/2022;8,88
05/02/2022;10,67
04/02/2022;10,55
03/02/2022;9,92
02/02/2022;10,59
01/02/2022;10,37
31/01/2022;9,12
30/01/2022;8,40
29/01/2022;8,20
28/01/2022;8,00
27/01/2022;7,91
26/01/2022;7,33
25/01/2022;7,93
24/01/2022;7,26
23/01/2022;6,24
22/01/2022;6,08
21/01/2022;6,21
20/01/2022;6,92
19/01/2022;5,90
18/01/2022;5,79
17/01/2022;6,00
16/01/2022;5,79
15/01/2022;5,60
14/01/2022;5,93
13/01/2022;6,39
12/01/2022;8,36
11/01/2022;10,66
10/01/2022;11,87
09/01/2022;10,16
08/01/2022;7,22
07/01/2022;7,00
06/01/2022;6,83
05/01/2022;8,81
04/01/2022;10,54
03/01/2022;10,07
02/01/2022;9,92
01/01/2022;10,97
31/12/2021;10,77
30/12/2021;11,33
29/12/2021;13,43
28/12/2021;15,06
27/12/2021;15,22
26/12/2021;12,09
25/12/2021;12,01
24/12/2021;12,11
23/12/2021;11,35
22/12/2021;11,14
21/12/2021;10,51
20/12/2021;8,14
19/12/2021;9,07
18/12/2021;8,18
17/12/2021;8,05
16/12/2021;8,22
15/12/2021;8,60
14/12/2021;8,82
13/12/2021;9,19
12/12/2021;10,55
11/12/2021;12,04
10/12/2021;13,08
09/12/2021;10,26
08/12/2021;10,17
07/12/2021;10,47
06/12/2021;9,93
05/12/2021;10,07
04/12/2021;9,90
03/12/2021;8,83
02/12/2021;9,24
01/12/2021;8,55
30/11/2021;9,37
29/11/2021;10,66
28/11/2021;7,25
27/11/2021;7,89
26/11/2021;8,43
25/11/2021;8,56
24/11/2021;8,53
23/11/2021;8,90
22/11/2021;10,35
21/11/2021;11,99
20/11/2021;11,84
19/11/2021;11,53
18/11/2021;10,65
17/11/2021;10,98
16/11/2021;10,40
15/11/2021;12,24
14/11/2021;12,44
13/11/2021;12,89
12/11/2021;12,52
11/11/2021;11,46
10/11/2021;11,33
09/11/2021;12,00
08/11/2021;12,30
07/11/2021;10,25
06/11/2021;10,17
05/11/2021;10,16
04/11/2021;10,07
03/11/2021;12,17
02/11/2021;14,30
01/11/2021;17,37
31/10/2021;18,54
30/10/2021;17,66
29/10/2021;15,85
28/10/2021;15,22
27/10/2021;14,85
26/10/2021;15,43
25/10/2021;14,61
24/10/2021;14,40
23/10/2021;14,70
22/10/2021;16,13
21/10/2021;17,84
20/10/2021;19,60
19/10/2021;19,84
18/10/2021;18,87
17/10/2021;18,47
16/10/2021;16,80
15/10/2021;17,16
14/10/2021;16,67
13/10/2021;17,20
12/10/2021;17,39
11/10/2021;17,76
10/10/2021;18,11
09/10/2021;17,70
08/10/2021;18,32
07/10/2021;18,11
06/10/2021;18,47
05/10/2021;17,36
04/10/2021;15,74
03/10/2021;18,98
02/10/2021;20,26
01/10/2021;19,47
30/09/2021;19,80
29/09/2021;19,74
28/09/2021;19,91
27/09/2021;20,40
26/09/2021;20,77
25/09/2021;20,80
24/09/2021;20,64
23/09/2021;20,20
22/09/2021;19,01
21/09/2021;18,31
20/09/2021;19,51
19/09/2021;20,02
18/09/2021;21,18
17/09/2021;21,45
16/09/2021;21,41
15/09/2021;21,67
14/09/2021;21,88
13/09/2021;23,15
12/09/2021;23,69
11/09/2021;22,55
10/09/2021;23,20
09/09/2021;23,47
08/09/2021;24,06
07/09/2021;25,89
06/09/2021;25,99
05/09/2021;24,62
04/09/2021;23,36
03/09/2021;22,64
02/09/2021;21,56
01/09/2021;22,27
31/08/2021;23,73
30/08/2021;23,31
29/08/2021;23,80
28/08/2021;24,65
27/08/2021;25,59
26/08/2021;24,80
25/08/2021;24,11
24/08/2021;24,73
23/08/2021;26,00
22/08/2021;25,80
21/08/2021;25,66
20/08/2021;25,10
19/08/2021;24,05
18/08/2021;24,05
17/08/2021;24,10
16/08/2021;26,17
15/08/2021;27,95
14/08/2021;28,88
13/08/2021;28,06
12/08/2021;27,76
11/08/2021;27,15
10/08/2021;26,07
09/08/2021;24,72
08/08/2021;23,10
07/08/2021;24,51
06/08/2021;25,05
05/08/2021;25,09
04/08/2021;24,89
03/08/2021;23,89
02/08/2021;22,45
01/08/2021;21,08
31/07/2021;22,74
30/07/2021;25,33
29/07/2021;25,77
28/07/2021;25,26
27/07/2021;24,70
26/07/2021;23,63
25/07/2021;24,31
24/07/2021;25,10
23/07/2021;26,29
22/07/2021;26,90
21/07/2021;26,07
20/07/2021;25,50
19/07/2021;25,70
18/07/2021;25,91
17/07/2021;25,88
16/07/2021;24,59
15/07/2021;23,07
14/07/2021;21,80
13/07/2021;21,39
12/07/2021;24,39
11/07/2021;26,04
10/07/2021;25,55
09/07/2021;23,99
08/07/2021;22,35
07/07/2021;21,88
06/07/2021;23,45
05/07/2021;25,42
04/07/2021;25,34
03/07/2021;24,84
02/07/2021;24,38
01/07/2021;24,03
30/06/2021;23,04
29/06/2021;22,03
28/06/2021;21,71
27/06/2021;22,73
26/06/2021;23,38
25/06/2021;22,71
24/06/2021;21,00
23/06/2021;19,67
22/06/2021;19,77
21/06/2021;20,55
20/06/2021;20,45
19/06/2021;20,59
18/06/2021;20,73
17/06/2021;20,42
16/06/2021;24,11
15/06/2021;25,02
14/06/2021;25,05
13/06/2021;24,65
12/06/2021;23,48
11/06/2021;23,42
10/06/2021;24,01
09/06/2021;23,53
08/06/2021;23,11
07/06/2021;22,08
06/06/2021;20,48
05/06/2021;19,10
04/06/2021;20,17
03/06/2021;20,53
02/06/2021;19,81
01/06/2021;19,83
31/05/2021;21,80
30/05/2021;21,92
29/05/2021;21,04
28/05/2021;20,11
27/05/2021;18,86
26/05/2021;18,33
25/05/2021;17,81
24/05/2021;16,66
23/05/2021;15,48
22/05/2021;17,72
21/05/2021;19,38
20/05/2021;18,85
19/05/2021;18,24
18/05/2021;18,39
17/05/2021;18,85
16/05/2021;20,57
15/05/2021;18,63
14/05/2021;16,93
13/05/2021;16,41
12/05/2021;16,00
11/05/2021;14,64
10/05/2021;14,81
09/05/2021;17,21
08/05/2021;19,63
07/05/2021;19,14
06/05/2021;17,93
05/05/2021;16,84
04/05/2021;15,26
03/05/2021;13,86
02/05/2021;13,35
01/05/2021;13,36
30/04/2021;13,65
29/04/2021;14,48
28/04/2021;14,76
27/04/2021;14,62
26/04/2021;14,88
25/04/2021;14,75
24/04/2021;15,04
23/04/2021;15,29
22/04/2021;14,20
21/04/2021;14,06
20/04/2021;14,42
19/04/2021;13,76
18/04/2021;12,09
17/04/2021;10,89
16/04/2021;11,93
15/04/2021;12,76
14/04/2021;13,91
13/04/2021;12,68
12/04/2021;11,97
11/04/2021;13,22
10/04/2021;13,55
09/04/2021;12,60
08/04/2021;12,82
07/04/2021;12,44
06/04/2021;14,19
05/04/2021;13,98
04/04/2021;13,64
03/04/2021;14,36
02/04/2021;15,07
01/04/2021;16,37
31/03/2021;16,40
30/03/2021;16,16
29/03/2021;15,30
28/03/2021;13,92
27/03/2021;13,12
26/03/2021;13,05
25/03/2021;12,48
24/03/2021;12,13
23/03/2021;11,19
22/03/2021;10,50
21/03/2021;8,86
20/03/2021;8,46
19/03/2021;8,75
18/03/2021;10,35
17/03/2021;12,84
16/03/2021;12,19
15/03/2021;11,60
14/03/2021;11,49
13/03/2021;11,03
12/03/2021;12,35
11/03/2021;12,37
10/03/2021;10,04
09/03/2021;10,04
08/03/2021;10,10
07/03/2021;10,94
06/03/2021;11,50
05/03/2021;11,23
04/03/2021;11,25
03/03/2021;12,20
02/03/2021;12,46
01/03/2021;11,59
28/02/2021;10,76
27/02/2021;11,35
26/02/2021;11,76
25/02/2021;11,40
24/02/2021;12,13
23/02/2021;11,15
22/02/2021;10,14
21/02/2021;11,71
20/02/2021;12,58
19/02/2021;11,19
18/02/2021;10,93
17/02/2021;11,01
16/02/2021;10,96
15/02/2021;11,32
14/02/2021;10,86
13/02/2021;11,49
12/02/2021;13,12
11/02/2021;12,03
10/02/2021;11,91
09/02/2021;10,82
08/02/2021;10,88
07/02/2021;9,56
06/02/2021;11,19
05/02/2021;11,83
04/02/2021;12,05
03/02/2021;12,97
02/02/2021;13,49
01/02/2021;14,61
31/01/2021;13,00
30/01/2021;13,01
29/01/2021;13,61
28/01/2021;13,22
27/01/2021;14,01
26/01/2021;11,79
25/01/2021;11,92
24/01/2021;12,27
23/01/2021;10,19
22/01/2021;11,27
21/01/2021;11,31
20/01/2021;8,10
19/01/2021;5,95
18/01/2021;6,54
17/01/2021;5,98
16/01/2021;5,14
15/01/2021;5,24
14/01/2021;4,09
13/01/2021;3,33
12/01/2021;2,06
11/01/2021;3,17
10/01/2021;4,34
09/01/2021;3,84
08/01/2021;3,31
07/01/2021;3,55
06/01/2021;3,49
05/01/2021;3,55
04/01/2021;4,22
03/01/2021;4,37
02/01/2021;4,36
01/01/2021;6,34
31/12/2020;6,32
30/12/2020;6,64
29/12/2020;7,38
28/12/2020;9,15
27/12/2020;5,63
