date;NatGas;ThermalCoal;Carbon
2015-03-17;21,35;59,15;6,54
2015-03-18;21,3;58,25;6,78
2015-03-19;21,5;58,88;6,79
2015-03-20;21;57,6;6,72
2015-03-21;21;57,7;7,09
2015-03-24;21,3;58;7,09
2015-03-25;21,7;57,8;7,08
2015-03-26;21,35;58,2;7,01
2015-03-27;22,2;59;6,99
2015-03-28;21,95;59,4;6,81
2015-03-31;22;59,25;6,93
2015-04-01;22,4;58,8;6,97
2015-04-02;23,2;57,6;7,19
2015-04-03;22,9;57,65;7,19
2015-04-04;22,45;58,01;7,19
2015-04-07;22,85;58,01;7,19
2015-04-08;22,7;56,9;7,15
2015-04-09;22,17;56,58;7,16
2015-04-10;22,35;57,5;7,05
2015-04-11;23,1;57,88;6,98
2015-04-14;22,35;59,25;6,84
2015-04-15;22,1;59,5;6,84
2015-04-16;22,25;59,5;6,89
2015-04-17;22,17;60,15;6,91
2015-04-18;21,43;59,9;6,88
2015-04-21;21,8;59,6;7,17
2015-04-22;21,75;59,1;7,12
2015-04-23;21,45;58,6;7,12
2015-04-24;21,6;58,4;7,29
2015-04-25;21,75;59,05;7,32
2015-04-28;21,7;59,45;7,19
2015-04-29;21,6;59,35;7,39
2015-04-30;21,3;59,8;7,5
2015-05-01;20,75;59,8;7,43
2015-05-02;20,1;59,4;7,52
2015-05-05;20,8;59,69;7,62
2015-05-06;20,2;59,2;7,59
2015-05-07;20,25;59,45;7,57
2015-05-08;20,2;58,8;7,47
2015-05-09;20,33;58,8;7,57
2015-05-12;21,1;58,35;7,66
2015-05-13;20,9;57,7;7,63
2015-05-14;20,7;57,75;7,68
2015-05-15;20,73;57,38;7,59
2015-05-16;20,4;57,53;7,62
2015-05-19;20,7;57,2;7,63
2015-05-20;20,55;56,7;7,4
2015-05-21;20,53;56,7;7,38
2015-05-22;20,53;56,3;7,33
2015-05-23;20,45;56,75;7,34
2015-05-26;20,55;57,09;7,39
2015-05-27;20,55;57;7,26
2015-05-28;20,7;57,3;7,21
2015-05-29;20,65;57,4;7,22
2015-05-30;20,6;57,85;7,36
2015-06-02;20,53;57,25;7,28
2015-06-03;20,35;57,2;7,48
2015-06-04;20,28;57,3;7,52
2015-06-05;20,25;56,7;7,43
2015-06-06;20,3;56,85;7,44
2015-06-09;20,8;56,45;7,48
2015-06-10;20,65;57,03;7,6
2015-06-11;20,68;57;7,62
2015-06-12;20,25;57,4;7,54
2015-06-13;20,23;58,7;7,64
2015-06-16;20,3;59,25;7,55
2015-06-17;20,55;58,85;7,45
2015-06-18;20,33;59,1;7,5
2015-06-19;20,4;59,2;7,48
2015-06-20;20,63;59,1;7,44
2015-06-23;20,8;59,8;7,5
2015-06-24;21;59,85;7,52
2015-06-25;20,9;59,5;7,51
2015-06-26;20,58;59,5;7,61
2015-06-27;20,48;59,25;7,55
2015-06-30;20,38;59,2;7,37
2015-07-01;20,78;59,95;7,46
2015-07-02;20,7;60;7,5
2015-07-03;21,03;59,68;7,46
2015-07-04;20,9;59,4;7,45
2015-07-07;21;58,5;7,39
2015-07-08;20,85;58,05;7,47
2015-07-09;20,55;58,1;7,46
2015-07-10;21;58,68;7,49
2015-07-11;20,83;58,48;7,62
2015-07-14;21,05;58,5;7,8
2015-07-15;21,1;58,5;7,74
2015-07-16;21,4;58,6;7,77
2015-07-17;21,05;58,2;7,67
2015-07-18;21,05;58,1;7,75
2015-07-21;21,1;58,25;7,99
2015-07-22;21;58,25;7,97
2015-07-23;20,83;58,5;7,97
2015-07-24;20,5;58,175;8,09
2015-07-25;20,45;58,3;8,02
2015-07-28;20,55;58;8,03
2015-07-29;20,77;57,7;8,03
2015-07-30;20,73;57,3;8,07
2015-07-31;20,9;57,7;7,89
2015-08-01;20,4;57,4;7,88
2015-08-04;20,48;56,45;7,96
2015-08-05;19,95;56,9;7,91
2015-08-06;20,28;57,04;7,84
2015-08-07;20,45;57,5;7,85
2015-08-08;19,95;56,7;7,79
2015-08-11;20,02;57,15;7,93
2015-08-12;19,95;55,9;8,1
2015-08-13;19,55;55,6;8,2
2015-08-14;19,65;55,6;8,2
2015-08-15;19,55;55,4;8,33
2015-08-18;19,5;55,15;8,25
2015-08-19;19,6;54,8;8,28
2015-08-20;19,2;54,7;8,35
2015-08-21;19,15;54,15;8,37
2015-08-22;19,08;54,35;8,21
2015-08-25;18,63;53,3;8,18
